Satellite Date/Time UTC,Solar Panel Voltage X mV,Solar Panel Voltage Y mV,Solar Panel Voltage Z mV,Total Photo Current mA,Battery Voltage mV,Total System Current mA,Boost Converter Temp 1 C,Boost Converter Temp 2 C,Boost Converter Temp 3 C,Battery Temp C,Sun Sensor X+,Sun Sensor Y+,Sun Sensor Z+,Solar Panel Temp X+ C,Solar Panel Temp X- C,Solar Panel Temp Y+ C,Solar Panel Temp Y- C,3.3 Bus Voltage mV,3.3 Bus Current mA,5.0 Bus Voltage mV,RF Temperature C,Receive Current mA,RF Current 3.3V Bus mA,RF Current 5.0V Bus mA,PA Device Temperature C,PA Bus Current mA,Antenna Temp 0 C,Antenna Temp 1 C
2019-03-21 17:50:41.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:46.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:51.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:50:56.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:01.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:06.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:11.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:16.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:21.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:26.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:31.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:36.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:41.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:46.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:51.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:51:56.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:52:01.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:52:06.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:52:11.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
2019-03-21 17:52:16.0,4075,4494,4494,113,8282,146,22,22,22,22,2.82,0.00,3.93,20.59,22.58,21.64,20.68,3280.00,136.00,4956.00,25.70,41,59,29,34.9,39.9,15.3,14.1
